firm_name,hq_city,hq_state,attio_match,attio_company_id,attio_company_name,attio_match_confidence,attio_last_interaction,attio_existing_lists,attio_notes_excerpt,person_match,person_id,person_name,person_last_interaction
Generational Group (DealForce),Dallas,TX,N,,,none,,,,N,,,
Benchmark International,Tampa,FL,Y,1e5545dc-4c54-4330-98bd-c6f15b259712,Benchmark International,exact,2026-02-07,,,N,,,
Rejigg,,,Y,2be2c57a-069a-4fb7-bb42-87449d6df098,Rejigg,exact,2026-04-20,,,N,,,
Business Exits,,,Y,1baaca3c-1eac-4eb3-bca3-099b281ab3f2,Business Exits,exact,2026-04-22,,,N,,,
IAG Mergers,,,Y,95912958-3841-4b65-a113-1f3b6f071366,Sell Your Business Better With IAG M&A Advisors,fuzzy,,,,N,,,
Viking Mergers & Acquisitions,Charlotte,NC,Y,35adff78-0641-4a1b-a185-838ce1044d8d,Viking Mergers & Acquisitions,exact,2026-04-16,,,N,,,
Paine Pacific,,,Y,416ded43-84f2-43ab-96cd-dc0f25e7608c,Paine Pacific,exact,,,,N,,,
Gottesman Company,New York,NY,Y,fa102f5f-d2f3-4b5c-888d-e7e3eb5866dc,Gottesman,fuzzy,,,,N,,,
Woodbridge International,Wilton,CT,Y,7fa296b7-b653-4035-91b4-3b6f468cc3bc,Woodbridge International,exact,,,,N,,,
ProNova Partners,Los Angeles,CA,Y,01cbb6fb-7c47-4b5f-a575-89cc411f52a8,ProNova Partners,exact,,,,N,,,
Graphic Arts Advisors,,NJ,Y,80e940db-86e7-420f-a73a-447776a1749a,Graphic Arts Advisors,exact,,,,N,,,
BusinessSellerCenter.com,Cheshire,CT,N,,,none,,,,N,,,
"Touchstone Advisors, LLC",West Hartford,CT,N,,,none,,,,N,,,
First Choice Business Brokers - Oxford,Oxford,CT,N,,,none,,,,N,,,
Business Seller Center,Cheshire,CT,N,,,none,,,,N,,,
Transworld Business Advisors of Hartford West,Simsbury,CT,N,,,none,,,,N,,,
"Basso Associates, LLC",Stamford,CT,N,,,none,,,,N,,,
Richman Business Brokerage LLC,Simsbury,CT,N,,,none,,,,N,,,
Transworld Business Advisors,New York,NY,N,,,none,,,,N,,,
Pi Business Brokers,Madison,CT,N,,,none,,,,N,,,
Blanket Real Estate,New Fairfield,CT,N,,,none,,,,N,,,
Murphy Business & Property Solutions,Cheshire,CT,N,,,none,,,,N,,,
"ThielGroup, LLC",Albany,NY,N,,,none,,,,N,,,
Rapt Business Brokers,East Williston,NY,N,,,none,,,,N,,,
