source_name,source_url,source_section,source_item_type,company_name,company_website,source_status,source_category,source_industry,source_business_model,raw_description,source_confidence,notes
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Banyan,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Central Storage & Warehouse,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Datacor,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Calyx Senior Living,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Eleven Software,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Stanley Ruth,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Skillwell,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Morningside,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Kantola,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,NovoPath,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Message Digital,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Heartwood Family,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,CoFi,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Merit Holdings,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,A Personal Choice,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,FluidSecure,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,FreeBalance,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Sector 7 Energy,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,CyberData Pros,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,O&W Heat Treat,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,ADAS Safe,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,ASI Group,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Wayleadr,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,Gendler Dermatology,,,,,,,Medium,Extracted from approved page image alt/logo text
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Operating companies,operating company,WonderPlay Brands,,,,,,,Medium,Extracted from approved page image alt/logo text
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,4EverYoung,https://4everyoungantiaging.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Advanced Aircrew Academy,https://www.aircrewacademy.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Allied Electric,https://alliedelectricinc.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Anterra Tech,https://anterratech.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Apex Fundraiser,https://apexleadershipco.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,ArborOne,,,,,,,High,approved page HTML gallery title without link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Ascend,https://www.ascendsoftware.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Atlantic Duct Cleaning,https://www.atlanticductcleaning.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Auronix,https://www.auronix.mx/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Avesta,https://www.avestaketaminewellness.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Axero,https://axerosolutions.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Beartown Holdings,https://www.smtrs.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Beecker,https://www.beeckerco.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Canyonlands Camps,https://www.canyonlandsfund.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Central Storage & Warehouse,https://www.csw-wi.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Chesapeake Technology,https://chesapeaketech.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Clariti,https://www.claritisoftware.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Climate Earth,https://climateearth.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Comprehensive Mobile Care,https://www.compmobilecare.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Concierge Plus,https://conciergeplus.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Crystal Practice Management,https://www.crystalpm.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,DaVinci,https://wdgcorp.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,ECP,https://www.ecp123.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,ELK Analytics,https://elkanalytics.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Energy Ogre,https://www.energyogre.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Ennoble Care,https://www.ennoblecare.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,ETU,https://www.etu.co/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Eventus,https://eventussecurity.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,ExpensePoint,https://www.expensepoint.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Facial Aesthetics,https://facialaestheticsinc.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Fleetflo,https://www.fleetflo.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,FluidSecure,https://www.fluidsecure.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Frotcom,https://www.frotcom.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Gendler & Lewis Dermatology,https://amyblewismd.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Gilles Hoppenot,https://www.ghs.fr/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Govineer Solutions,https://www.govineersolutions.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Grasp,https://www.grasptech.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Halsey Health,https://www.halseyhealth.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Happy Paws Vet Partners,https://happypawsveterinarypartners.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Honolulu Ship Supply,https://honship.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Innovative Lab Services,https://www.innlabserv.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,IT Pipes,https://itpipes.com/,,,,,,High,approved page HTML gallery title/link
